"","MAP","Cover"
"292",910,0
"293",912,0
"294",910,0
"295",909,0
"296",906,0
"297",789,66.6666666666667
"298",789,16.6666666666667
"299",789,14.4444444444444
"300",809,73.8888888888889
"301",802,32.2222222222222
"302",796,33.3333333333333
"303",795,7.22222222222222
"304",789,9.44444444444444
"305",789,2.77777777777778
"306",891,0
"307",892,0
"308",895,0
"309",898,0
"310",898,0
"311",900,0
"312",896,0
"313",895,0
"314",892,0
"315",902,0
"316",899,0
"317",895,0
"318",892,0
"319",892,0
"320",892,0
"321",892,0
"322",895,0
"323",895,0
"324",653,0
"325",643,0
"326",640,0
"327",638,0.222222222222222
"328",635,0.222222222222222
"329",635,0
"330",637,1.88888888888889
"331",637,1.11111111111111
"332",641,0
"333",638,0
"334",627,0.222222222222222
"335",629,1.44444444444444
"336",631,0.111111111111111
"337",632,2.44444444444444
"338",632,21.6666666666667
"339",631,2.22222222222222
"340",631,2.11111111111111
"341",634,8.22222222222222
"342",634,11.2222222222222
"343",658,0.666666666666667
"344",662,0
"345",661,0.666666666666667
"346",662,0.222222222222222
"347",665,0
"348",658,0
"349",655,1.11111111111111
"350",659,1.44444444444444
"351",660,0.222222222222222
"352",619,4.11111111111111
"353",617,0.111111111111111
"354",617,1.22222222222222
"355",616,0
"356",615,6.66666666666667
"357",616,5.55555555555556
"358",616,0.555555555555556
"359",619,0.333333333333333
"360",619,3.11111111111111
"361",617,0
"362",616,0
"363",616,0
"364",618,0.666666666666667
"365",618,0.666666666666667
"366",617,0.555555555555556
"367",615,0
"368",619,2
"369",620,1.22222222222222
"370",760,9.88888888888889
"371",759,14.7777777777778
"372",756,16.4444444444444
"373",692,2.11111111111111
"374",685,4.55555555555556
"375",681,0
"376",671,3
"377",663,0
"378",692,0.25
"379",632,15
"380",631,26.6666666666667
"381",631,15
"382",631,19.7777777777778
"383",632,21.4444444444444
"384",645,70.1111111111111
"385",630,11.8888888888889
"386",624,8.88888888888889
"387",638,15.8888888888889
"388",639,11.8888888888889
"389",644,21.1111111111111
"390",646,45.8888888888889
"391",650,9.77777777777778
"392",654,22.5555555555556
"393",653,8.33333333333333
"394",648,8.33333333333333
"395",641,18.6666666666667
"396",637,75.5555555555556
"397",971,14.2222222222222
"398",966,17.2222222222222
"399",966,10.4444444444444
"400",962,11.5555555555556
"401",765,7.77777777777778
"402",764,0
"403",768,1.22222222222222
"404",770,33.7777777777778
"405",745,8.44444444444444
"406",747,9.44444444444444
"407",751,9.66666666666667
"408",738,31.3333333333333
"409",752,4.33333333333333
"410",756,2.44444444444444
"411",758,22
"412",771,12.2222222222222
"413",798,18
"414",817,20.8888888888889
"415",888,7.66666666666667
"416",777,11.5555555555556
"417",783,22.1111111111111
"418",777,0
"419",776,3.22222222222222
"420",744,30.3333333333333
"421",742,22
"422",730,13.4444444444444
"423",727,16.4444444444444
"424",728,10.6666666666667
"425",733,38.1111111111111
"426",835,5.33333333333333
"427",837,6.33333333333333
"428",837,10.3333333333333
"429",834,0
"430",838,15.4444444444444
"431",838,10.1111111111111
"432",835,3.88888888888889
"433",836,8.11111111111111
"434",827,0.444444444444444
"435",949,0
"436",952,2.22222222222222
"437",949,0
"438",951,0
"439",953,0
"440",947,0
"441",947,0
"442",945,0
"443",942,0
"444",938,41.3333333333333
"445",931,20.1111111111111
"446",928,18.1111111111111
"447",934,17.3333333333333
"448",1100,56.7777777777778
"449",1127,47.1111111111111
"450",1115,56.5555555555556
"451",1104,31.4444444444444
"452",1096,0.111111111111111
"453",1078,18.1111111111111
"454",1093,20.4444444444444
"455",1107,26.5555555555556
"456",1049,12.1111111111111
"457",1058,0
"458",1045,22.6666666666667
"459",1102,7.11111111111111
"460",1109,37.8888888888889
"461",1120,23
"462",1138,13.8888888888889
"463",1155,0
"464",1162,7.22222222222222
"465",1185,15.7777777777778
"466",1185,3.88888888888889
"467",1115,0
"468",1041,11.8888888888889
"469",1022,16.8888888888889
"470",929,5
"471",916,3.22222222222222
"472",920,0
"473",916,29.2222222222222
"474",926,3.55555555555556
"475",977,30.3333333333333
"476",1012,5.55555555555556
"477",997,0
"478",891,0
"479",895,0
"480",878,1.77777777777778
"481",876,8.55555555555556
"482",866,26.5555555555556
"483",729,8.22222222222222
"484",736,10.6666666666667
"485",733,4.33333333333333
"486",723,18
"487",861,0.333333333333333
"488",864,0.333333333333333
